Topic,English,Spanish,IPA
02 Familia,parents,padres,/ˈperənts/
02 Familia,sister,hermana,/ˈsɪstər/
02 Familia,brother,hermano,/ˈbrʌðər/
02 Familia,daughter,hija,/ˈdɔːtər/
02 Familia,son,hijo,/sʌn/
02 Familia,child,niño; hijo,/tʃaɪld/
02 Familia,children,niños; hijos,/ˈtʃɪldrən/
02 Familia,grandmother,abuela,/ˈɡrænˌmʌðər/
02 Familia,grandfather,abuelo,/ˈɡrænˌfɑːðər/
02 Familia,grandparents,abuelos,/ˈɡrænˌperənts/
02 Familia,aunt,tía,/ænt/
02 Familia,uncle,tío,/ˈʌŋkəl/
02 Familia,cousin,primo; prima,/ˈkʌzən/
02 Familia,wife,esposa,/waɪf/
02 Familia,husband,esposo,/ˈhʌzbənd/
02 Familia,baby,bebé,/ˈbeɪbi/
02 Familia,married,casado,/ˈmærid/
02 Familia,single,soltero,/ˈsɪŋɡəl/
02 Familia,young,joven,/jʌŋ/
02 Familia,old,viejo,/oʊld/
02 Familia,love,amar,/lʌv/
02 Familia,person,persona,/ˈpɜːrsən/
02 Familia,people,personas,/ˈpiːpəl/
02 Familia,pet,mascota,/pet/
02 Familia,dog,perro,/dɔːɡ/
02 Familia,cat,gato,/kæt/
02 Familia,home,hogar,/hoʊm/
02 Familia,together,juntos,/təˈɡeðər/
02 Familia,birthday,cumpleaños,/ˈbɜːrθdeɪ/
03 Números y tiempo,one,uno,/wʌn/
03 Números y tiempo,two,dos,/tuː/
03 Números y tiempo,three,tres,/θriː/
03 Números y tiempo,four,cuatro,/fɔːr/
03 Números y tiempo,five,cinco,/faɪv/
03 Números y tiempo,six,seis,/sɪks/
03 Números y tiempo,seven,siete,/ˈsevən/
03 Números y tiempo,eight,ocho,/eɪt/
03 Números y tiempo,nine,nueve,/naɪn/
03 Números y tiempo,ten,diez,/ten/
03 Números y tiempo,eleven,once,/ɪˈlevən/
03 Números y tiempo,twelve,doce,/twelv/
03 Números y tiempo,thirteen,trece,/ˌθɜːrˈtiːn/
03 Números y tiempo,fourteen,catorce,/ˌfɔːrˈtiːn/
03 Números y tiempo,fifteen,quince,/ˌfɪfˈtiːn/
03 Números y tiempo,twenty,veinte,/ˈtwenti/
03 Números y tiempo,thirty,treinta,/ˈθɜːrti/
03 Números y tiempo,forty,cuarenta,/ˈfɔːrti/
03 Números y tiempo,fifty,cincuenta,/ˈfɪfti/
03 Números y tiempo,hundred,cien,/ˈhʌndrəd/
03 Números y tiempo,time,tiempo; hora,/taɪm/
03 Números y tiempo,hour,hora,/ˈaʊər/
03 Números y tiempo,minute,minuto,/ˈmɪnɪt/
03 Números y tiempo,second,segundo,/ˈsekənd/
03 Números y tiempo,morning,mañana,/ˈmɔːrnɪŋ/
03 Números y tiempo,afternoon,tarde,/ˌæftərˈnuːn/
03 Números y tiempo,evening,tarde; noche,/ˈiːvnɪŋ/
03 Números y tiempo,night,noche,/naɪt/
03 Números y tiempo,today,hoy,/təˈdeɪ/
03 Números y tiempo,tomorrow,mañana,/təˈmɑːroʊ/
03 Números y tiempo,yesterday,ayer,/ˈjestərdeɪ/
03 Números y tiempo,now,ahora,/naʊ/
"04 Días, meses y fechas",Monday,lunes,/ˈmʌndeɪ/
"04 Días, meses y fechas",Tuesday,martes,/ˈtuːzdeɪ/
"04 Días, meses y fechas",Wednesday,miércoles,/ˈwenzdeɪ/
"04 Días, meses y fechas",Thursday,jueves,/ˈθɜːrzdeɪ/
"04 Días, meses y fechas",Friday,viernes,/ˈfraɪdeɪ/
"04 Días, meses y fechas",Saturday,sábado,/ˈsætərdeɪ/
"04 Días, meses y fechas",Sunday,domingo,/ˈsʌndeɪ/
"04 Días, meses y fechas",week,semana,/wiːk/
"04 Días, meses y fechas",weekend,fin de semana,/ˌwiːkˈend/
"04 Días, meses y fechas",month,mes,/mʌnθ/
"04 Días, meses y fechas",year,año,/jɪr/
"04 Días, meses y fechas",January,enero,/ˈdʒænjuˌeri/
"04 Días, meses y fechas",February,febrero,/ˈfebruˌeri/
"04 Días, meses y fechas",March,marzo,/mɑːrtʃ/
"04 Días, meses y fechas",April,abril,/ˈeɪprəl/
"04 Días, meses y fechas",May,mayo,/meɪ/
"04 Días, meses y fechas",June,junio,/dʒuːn/
"04 Días, meses y fechas",July,julio,/dʒuˈlaɪ/
"04 Días, meses y fechas",August,agosto,/ˈɔːɡəst/
"04 Días, meses y fechas",September,septiembre,/sepˈtembər/
"04 Días, meses y fechas",October,octubre,/ɑːkˈtoʊbər/
"04 Días, meses y fechas",November,noviembre,/noʊˈvembər/
"04 Días, meses y fechas",December,diciembre,/dɪˈsembər/
"04 Días, meses y fechas",date,fecha,/deɪt/
"04 Días, meses y fechas",calendar,calendario,/ˈkæləndər/
"04 Días, meses y fechas",early,temprano,/ˈɜːrli/
"04 Días, meses y fechas",late,tarde,/leɪt/
"04 Días, meses y fechas",daily,diario,/ˈdeɪli/
"04 Días, meses y fechas",weekly,semanal,/ˈwiːkli/
"04 Días, meses y fechas",first,primero,/fɜːrst/
"04 Días, meses y fechas",last,último,/læst/
"04 Días, meses y fechas",next,siguiente,/nekst/
05 Casa,house,casa,/haʊs/
05 Casa,apartment,apartamento,/əˈpɑːrtmənt/
05 Casa,room,habitación,/ruːm/
05 Casa,bedroom,dormitorio,/ˈbedruːm/
05 Casa,bathroom,baño,/ˈbæθruːm/
05 Casa,kitchen,cocina,/ˈkɪtʃən/
05 Casa,living room,sala,/ˈlɪvɪŋ ruːm/
05 Casa,garden,jardín,/ˈɡɑːrdən/
05 Casa,door,puerta,/dɔːr/
05 Casa,window,ventana,/ˈwɪndoʊ/
05 Casa,wall,pared,/wɔːl/
05 Casa,floor,piso,/flɔːr/
05 Casa,table,mesa,/ˈteɪbəl/
05 Casa,chair,silla,/tʃer/
05 Casa,bed,cama,/bed/
05 Casa,sofa,sofá,/ˈsoʊfə/
05 Casa,lamp,lámpara,/læmp/
05 Casa,television,televisión,/ˈteləvɪʒən/
05 Casa,fridge,refrigerador,/frɪdʒ/
05 Casa,shower,ducha,/ˈʃaʊər/
05 Casa,toilet,inodoro,/ˈtɔɪlət/
05 Casa,key,llave,/kiː/
05 Casa,clean,limpio; limpiar,/kliːn/
05 Casa,dirty,sucio,/ˈdɜːrti/
05 Casa,open,abrir; abierto,/ˈoʊpən/
05 Casa,close,cerrar,/kloʊz/
05 Casa,inside,dentro,/ˌɪnˈsaɪd/
05 Casa,outside,afuera,/ˌaʊtˈsaɪd/
05 Casa,upstairs,arriba,/ˌʌpˈsterz/
05 Casa,downstairs,abajo,/ˌdaʊnˈsterz/
05 Casa,rent,alquilar,/rent/
05 Casa,move,mudarse,/muːv/
06 Comida y bebida,food,comida,/fuːd/
06 Comida y bebida,water,agua,/ˈwɔːtər/
06 Comida y bebida,coffee,café,/ˈkɔːfi/
06 Comida y bebida,tea,té,/tiː/
06 Comida y bebida,milk,leche,/mɪlk/
06 Comida y bebida,juice,jugo,/dʒuːs/
06 Comida y bebida,bread,pan,/bred/
06 Comida y bebida,rice,arroz,/raɪs/
06 Comida y bebida,meat,carne,/miːt/
06 Comida y bebida,chicken,pollo,/ˈtʃɪkɪn/
06 Comida y bebida,fish,pescado,/fɪʃ/
06 Comida y bebida,egg,huevo,/eɡ/
06 Comida y bebida,cheese,queso,/tʃiːz/
06 Comida y bebida,fruit,fruta,/fruːt/
06 Comida y bebida,apple,manzana,/ˈæpəl/
06 Comida y bebida,banana,plátano,/bəˈnænə/
06 Comida y bebida,orange,naranja,/ˈɔːrɪndʒ/
06 Comida y bebida,vegetable,verdura,/ˈvedʒtəbəl/
06 Comida y bebida,potato,papa,/pəˈteɪtoʊ/
06 Comida y bebida,tomato,tomate,/təˈmeɪtoʊ/
06 Comida y bebida,salad,ensalada,/ˈsæləd/
06 Comida y bebida,soup,sopa,/suːp/
06 Comida y bebida,breakfast,desayuno,/ˈbrekfəst/
06 Comida y bebida,lunch,almuerzo,/lʌntʃ/
06 Comida y bebida,dinner,cena,/ˈdɪnər/
06 Comida y bebida,hungry,hambriento,/ˈhʌŋɡri/
06 Comida y bebida,thirsty,sediento,/ˈθɜːrsti/
06 Comida y bebida,eat,comer,/iːt/
06 Comida y bebida,drink,beber,/drɪŋk/
06 Comida y bebida,cook,cocinar,/kʊk/
06 Comida y bebida,delicious,delicioso,/dɪˈlɪʃəs/
06 Comida y bebida,menu,menú,/ˈmenjuː/
07 Rutina diaria,wake up,despertarse,/weɪk ʌp/
07 Rutina diaria,get up,levantarse,/ɡet ʌp/
07 Rutina diaria,wash,lavar,/wɑːʃ/
07 Rutina diaria,brush,cepillar,/brʌʃ/
07 Rutina diaria,dress,vestirse,/dres/
07 Rutina diaria,start,empezar,/stɑːrt/
07 Rutina diaria,finish,terminar,/ˈfɪnɪʃ/
07 Rutina diaria,work,trabajar,/wɜːrk/
07 Rutina diaria,study,estudiar,/ˈstʌdi/
07 Rutina diaria,go,ir,/ɡoʊ/
07 Rutina diaria,come,venir,/kʌm/
07 Rutina diaria,leave,salir,/liːv/
07 Rutina diaria,arrive,llegar,/əˈraɪv/
07 Rutina diaria,sleep,dormir,/sliːp/
07 Rutina diaria,rest,descansar,/rest/
07 Rutina diaria,read,leer,/riːd/
07 Rutina diaria,write,escribir,/raɪt/
07 Rutina diaria,listen,escuchar,/ˈlɪsən/
07 Rutina diaria,speak,hablar,/spiːk/
07 Rutina diaria,watch,mirar,/wɑːtʃ/
07 Rutina diaria,play,jugar,/pleɪ/
07 Rutina diaria,walk,caminar,/wɔːk/
07 Rutina diaria,run,correr,/rʌn/
07 Rutina diaria,usually,usualmente,/ˈjuːʒuəli/
07 Rutina diaria,always,siempre,/ˈɔːlweɪz/
07 Rutina diaria,often,a menudo,/ˈɔːfən/
07 Rutina diaria,sometimes,a veces,/ˈsʌmtaɪmz/
07 Rutina diaria,never,nunca,/ˈnevər/
07 Rutina diaria,before,antes,/bɪˈfɔːr/
07 Rutina diaria,after,después,/ˈæftər/
07 Rutina diaria,every day,todos los días,/ˈevri deɪ/
07 Rutina diaria,routine,rutina,/ruːˈtiːn/
08 Escuela y estudio,school,escuela,/skuːl/
08 Escuela y estudio,class,clase,/klæs/
08 Escuela y estudio,lesson,lección,/ˈlesən/
08 Escuela y estudio,book,libro,/bʊk/
08 Escuela y estudio,notebook,cuaderno,/ˈnoʊtbʊk/
08 Escuela y estudio,pen,bolígrafo,/pen/
08 Escuela y estudio,pencil,lápiz,/ˈpensəl/
08 Escuela y estudio,paper,papel,/ˈpeɪpər/
08 Escuela y estudio,desk,escritorio,/desk/
08 Escuela y estudio,board,pizarra,/bɔːrd/
08 Escuela y estudio,question,pregunta,/ˈkwestʃən/
08 Escuela y estudio,answer,respuesta,/ˈænsər/
08 Escuela y estudio,word,palabra,/wɜːrd/
08 Escuela y estudio,sentence,oración,/ˈsentəns/
08 Escuela y estudio,homework,tarea,/ˈhoʊmwɜːrk/
08 Escuela y estudio,test,examen,/test/
08 Escuela y estudio,exam,examen,/ɪɡˈzæm/
08 Escuela y estudio,learn,aprender,/lɜːrn/
08 Escuela y estudio,understand,entender,/ˌʌndərˈstænd/
08 Escuela y estudio,remember,recordar,/rɪˈmembər/
08 Escuela y estudio,know,saber; conocer,/noʊ/
08 Escuela y estudio,ask,preguntar,/æsk/
08 Escuela y estudio,repeat,repetir,/rɪˈpiːt/
08 Escuela y estudio,spell,deletrear,/spel/
08 Escuela y estudio,easy,fácil,/ˈiːzi/
08 Escuela y estudio,difficult,difícil,/ˈdɪfɪkəlt/
08 Escuela y estudio,correct,correcto,/kəˈrekt/
08 Escuela y estudio,wrong,incorrecto,/rɔːŋ/
08 Escuela y estudio,example,ejemplo,/ɪɡˈzæmpəl/
08 Escuela y estudio,practice,práctica,/ˈpræktɪs/
08 Escuela y estudio,computer,computadora,/kəmˈpjuːtər/
08 Escuela y estudio,dictionary,diccionario,/ˈdɪkʃəneri/
09 Trabajo,job,trabajo,/dʒɑːb/
09 Trabajo,office,oficina,/ˈɔːfɪs/
09 Trabajo,company,empresa,/ˈkʌmpəni/
09 Trabajo,worker,trabajador,/ˈwɜːrkər/
09 Trabajo,manager,gerente,/ˈmænɪdʒər/
09 Trabajo,boss,jefe,/bɔːs/
09 Trabajo,customer,cliente,/ˈkʌstəmər/
09 Trabajo,doctor,médico,/ˈdɑːktər/
09 Trabajo,nurse,enfermero,/nɜːrs/
09 Trabajo,driver,conductor,/ˈdraɪvər/
09 Trabajo,engineer,ingeniero,/ˌendʒɪˈnɪr/
09 Trabajo,waiter,mesero,/ˈweɪtər/
09 Trabajo,waitress,mesera,/ˈweɪtrəs/
09 Trabajo,shop assistant,dependiente,/ˈʃɑːp əsɪstənt/
09 Trabajo,police officer,policía,/pəˈliːs ˌɔːfɪsər/
09 Trabajo,farmer,agricultor,/ˈfɑːrmər/
09 Trabajo,email,correo electrónico,/ˈiːmeɪl/
09 Trabajo,meeting,reunión,/ˈmiːtɪŋ/
09 Trabajo,phone,teléfono,/foʊn/
09 Trabajo,busy,ocupado,/ˈbɪzi/
09 Trabajo,free,libre,/friː/
09 Trabajo,money,dinero,/ˈmʌni/
09 Trabajo,pay,pagar,/peɪ/
09 Trabajo,help,ayudar,/help/
09 Trabajo,send,enviar,/send/
09 Trabajo,call,llamar,/kɔːl/
09 Trabajo,use,usar,/juːz/
09 Trabajo,make,hacer,/meɪk/
09 Trabajo,do,hacer,/duː/
09 Trabajo,need,necesitar,/niːd/
09 Trabajo,want,querer,/wɑːnt/
09 Trabajo,important,importante,/ɪmˈpɔːrtənt/
10 Compras y dinero,shop,tienda,/ʃɑːp/
10 Compras y dinero,store,tienda,/stɔːr/
10 Compras y dinero,market,mercado,/ˈmɑːrkɪt/
10 Compras y dinero,supermarket,supermercado,/ˈsuːpərˌmɑːrkɪt/
10 Compras y dinero,buy,comprar,/baɪ/
10 Compras y dinero,sell,vender,/sel/
10 Compras y dinero,price,precio,/praɪs/
10 Compras y dinero,cheap,barato,/tʃiːp/
10 Compras y dinero,expensive,caro,/ɪkˈspensɪv/
10 Compras y dinero,cash,efectivo,/kæʃ/
10 Compras y dinero,card,tarjeta,/kɑːrd/
10 Compras y dinero,coin,moneda,/kɔɪn/
10 Compras y dinero,change,cambio,/tʃeɪndʒ/
10 Compras y dinero,cost,costar,/kɔːst/
10 Compras y dinero,size,talla; tamaño,/saɪz/
10 Compras y dinero,small,pequeño,/smɔːl/
10 Compras y dinero,medium,mediano,/ˈmiːdiəm/
10 Compras y dinero,large,grande,/lɑːrdʒ/
10 Compras y dinero,bag,bolsa,/bæɡ/
10 Compras y dinero,basket,canasta,/ˈbæskɪt/
10 Compras y dinero,bottle,botella,/ˈbɑːtəl/
10 Compras y dinero,box,caja,/bɑːks/
10 Compras y dinero,kilo,kilo,/ˈkiːloʊ/
10 Compras y dinero,pair,par,/per/
10 Compras y dinero,some,algunos,/sʌm/
10 Compras y dinero,any,algún,/ˈeni/
10 Compras y dinero,much,mucho,/mʌtʃ/
10 Compras y dinero,many,muchos,/ˈmeni/
10 Compras y dinero,enough,suficiente,/ɪˈnʌf/
10 Compras y dinero,receipt,recibo,/rɪˈsiːt/
10 Compras y dinero,open,abierto,/ˈoʊpən/
10 Compras y dinero,closed,cerrado,/kloʊzd/
11 Ropa y colores,clothes,ropa,/kloʊðz/
11 Ropa y colores,shirt,camisa,/ʃɜːrt/
11 Ropa y colores,T-shirt,camiseta,/ˈtiː ʃɜːrt/
11 Ropa y colores,trousers,pantalones,/ˈtraʊzərz/
11 Ropa y colores,jeans,jeans,/dʒiːnz/
11 Ropa y colores,dress,vestido,/dres/
11 Ropa y colores,skirt,falda,/skɜːrt/
11 Ropa y colores,jacket,chaqueta,/ˈdʒækɪt/
11 Ropa y colores,coat,abrigo,/koʊt/
11 Ropa y colores,shoes,zapatos,/ʃuːz/
11 Ropa y colores,socks,calcetines,/sɑːks/
11 Ropa y colores,hat,sombrero,/hæt/
11 Ropa y colores,wear,llevar puesto,/wer/
11 Ropa y colores,red,rojo,/red/
11 Ropa y colores,blue,azul,/bluː/
11 Ropa y colores,green,verde,/ɡriːn/
11 Ropa y colores,yellow,amarillo,/ˈjeloʊ/
11 Ropa y colores,black,negro,/blæk/
11 Ropa y colores,white,blanco,/waɪt/
11 Ropa y colores,brown,marrón,/braʊn/
11 Ropa y colores,gray,gris,/ɡreɪ/
11 Ropa y colores,pink,rosado,/pɪŋk/
11 Ropa y colores,purple,morado,/ˈpɜːrpəl/
11 Ropa y colores,orange,naranja,/ˈɔːrɪndʒ/
11 Ropa y colores,beautiful,hermoso,/ˈbjuːtəfəl/
11 Ropa y colores,new,nuevo,/nuː/
11 Ropa y colores,short,corto,/ʃɔːrt/
11 Ropa y colores,long,largo,/lɔːŋ/
11 Ropa y colores,fit,quedar bien,/fɪt/
11 Ropa y colores,try on,probarse,/traɪ ɑːn/
11 Ropa y colores,color,color,/ˈkʌlər/
11 Ropa y colores,style,estilo,/staɪl/
12 Ciudad y lugares,place,lugar,/pleɪs/
12 Ciudad y lugares,street,calle,/striːt/
12 Ciudad y lugares,road,carretera,/roʊd/
12 Ciudad y lugares,park,parque,/pɑːrk/
12 Ciudad y lugares,bank,banco,/bæŋk/
12 Ciudad y lugares,hospital,hospital,/ˈhɑːspɪtəl/
12 Ciudad y lugares,pharmacy,farmacia,/ˈfɑːrməsi/
12 Ciudad y lugares,restaurant,restaurante,/ˈrestərɑːnt/
12 Ciudad y lugares,café,cafetería,/kæˈfeɪ/
12 Ciudad y lugares,hotel,hotel,/hoʊˈtel/
12 Ciudad y lugares,station,estación,/ˈsteɪʃən/
12 Ciudad y lugares,airport,aeropuerto,/ˈerpɔːrt/
12 Ciudad y lugares,museum,museo,/mjuˈziːəm/
12 Ciudad y lugares,library,biblioteca,/ˈlaɪbreri/
12 Ciudad y lugares,cinema,cine,/ˈsɪnəmə/
12 Ciudad y lugares,church,iglesia,/tʃɜːrtʃ/
12 Ciudad y lugares,post office,oficina de correos,/ˈpoʊst ˌɔːfɪs/
12 Ciudad y lugares,police station,comisaría,/pəˈliːs ˌsteɪʃən/
12 Ciudad y lugares,center,centro,/ˈsentər/
12 Ciudad y lugares,near,cerca,/nɪr/
12 Ciudad y lugares,far,lejos,/fɑːr/
12 Ciudad y lugares,left,izquierda,/left/
12 Ciudad y lugares,right,derecha,/raɪt/
12 Ciudad y lugares,straight,recto,/streɪt/
12 Ciudad y lugares,corner,esquina,/ˈkɔːrnər/
12 Ciudad y lugares,here,aquí,/hɪr/
12 Ciudad y lugares,there,allí,/ðer/
12 Ciudad y lugares,map,mapa,/mæp/
12 Ciudad y lugares,building,edificio,/ˈbɪldɪŋ/
12 Ciudad y lugares,square,plaza,/skwer/
12 Ciudad y lugares,bridge,puente,/brɪdʒ/
12 Ciudad y lugares,traffic,tráfico,/ˈtræfɪk/
13 Transporte y viajes,car,auto,/kɑːr/
13 Transporte y viajes,bus,autobús,/bʌs/
13 Transporte y viajes,train,tren,/treɪn/
13 Transporte y viajes,taxi,taxi,/ˈtæksi/
13 Transporte y viajes,bicycle,bicicleta,/ˈbaɪsɪkəl/
13 Transporte y viajes,bike,bicicleta,/baɪk/
13 Transporte y viajes,plane,avión,/pleɪn/
13 Transporte y viajes,boat,barco,/boʊt/
13 Transporte y viajes,ticket,boleto,/ˈtɪkɪt/
13 Transporte y viajes,trip,viaje,/trɪp/
13 Transporte y viajes,travel,viajar,/ˈtrævəl/
13 Transporte y viajes,holiday,vacaciones,/ˈhɑːlədeɪ/
13 Transporte y viajes,vacation,vacaciones,/veɪˈkeɪʃən/
13 Transporte y viajes,passport,pasaporte,/ˈpæspɔːrt/
13 Transporte y viajes,suitcase,maleta,/ˈsuːtkeɪs/
13 Transporte y viajes,journey,viaje,/ˈdʒɜːrni/
13 Transporte y viajes,stop,parada,/stɑːp/
13 Transporte y viajes,platform,andén,/ˈplætfɔːrm/
13 Transporte y viajes,drive,conducir,/draɪv/
13 Transporte y viajes,ride,montar,/raɪd/
13 Transporte y viajes,fly,volar,/flaɪ/
13 Transporte y viajes,visit,visitar,/ˈvɪzɪt/
13 Transporte y viajes,stay,quedarse,/steɪ/
13 Transporte y viajes,book,reservar,/bʊk/
13 Transporte y viajes,return,regresar,/rɪˈtɜːrn/
13 Transporte y viajes,way,camino,/weɪ/
13 Transporte y viajes,north,norte,/nɔːrθ/
13 Transporte y viajes,south,sur,/saʊθ/
13 Transporte y viajes,east,este,/iːst/
13 Transporte y viajes,west,oeste,/west/
13 Transporte y viajes,fast,rápido,/fæst/
13 Transporte y viajes,slow,lento,/sloʊ/
14 Cuerpo y salud,body,cuerpo,/ˈbɑːdi/
14 Cuerpo y salud,head,cabeza,/hed/
14 Cuerpo y salud,face,cara,/feɪs/
14 Cuerpo y salud,eye,ojo,/aɪ/
14 Cuerpo y salud,ear,oreja,/ɪr/
14 Cuerpo y salud,nose,nariz,/noʊz/
14 Cuerpo y salud,mouth,boca,/maʊθ/
14 Cuerpo y salud,tooth,diente,/tuːθ/
14 Cuerpo y salud,teeth,dientes,/tiːθ/
14 Cuerpo y salud,neck,cuello,/nek/
14 Cuerpo y salud,arm,brazo,/ɑːrm/
14 Cuerpo y salud,hand,mano,/hænd/
14 Cuerpo y salud,finger,dedo,/ˈfɪŋɡər/
14 Cuerpo y salud,leg,pierna,/leɡ/
14 Cuerpo y salud,foot,pie,/fʊt/
14 Cuerpo y salud,feet,pies,/fiːt/
14 Cuerpo y salud,back,espalda,/bæk/
14 Cuerpo y salud,stomach,estómago,/ˈstʌmək/
14 Cuerpo y salud,health,salud,/helθ/
14 Cuerpo y salud,sick,enfermo,/sɪk/
14 Cuerpo y salud,ill,enfermo,/ɪl/
14 Cuerpo y salud,pain,dolor,/peɪn/
14 Cuerpo y salud,medicine,medicina,/ˈmedɪsɪn/
14 Cuerpo y salud,healthy,saludable,/ˈhelθi/
14 Cuerpo y salud,tired,cansado,/ˈtaɪərd/
14 Cuerpo y salud,well,bien,/wel/
14 Cuerpo y salud,better,mejor,/ˈbetər/
14 Cuerpo y salud,hurt,doler,/hɜːrt/
14 Cuerpo y salud,cold,resfriado,/koʊld/
14 Cuerpo y salud,fever,fiebre,/ˈfiːvər/
14 Cuerpo y salud,appointment,cita,/əˈpɔɪntmənt/
14 Cuerpo y salud,emergency,emergencia,/ɪˈmɜːrdʒənsi/
15 Tiempo y clima,weather,clima,/ˈweðər/
15 Tiempo y clima,sun,sol,/sʌn/
15 Tiempo y clima,sunny,soleado,/ˈsʌni/
15 Tiempo y clima,rain,lluvia,/reɪn/
15 Tiempo y clima,rainy,lluvioso,/ˈreɪni/
15 Tiempo y clima,cloud,nube,/klaʊd/
15 Tiempo y clima,cloudy,nublado,/ˈklaʊdi/
15 Tiempo y clima,wind,viento,/wɪnd/
15 Tiempo y clima,windy,ventoso,/ˈwɪndi/
15 Tiempo y clima,snow,nieve,/snoʊ/
15 Tiempo y clima,hot,caluroso,/hɑːt/
15 Tiempo y clima,warm,cálido,/wɔːrm/
15 Tiempo y clima,cool,fresco,/kuːl/
15 Tiempo y clima,cold,frío,/koʊld/
15 Tiempo y clima,temperature,temperatura,/ˈtemprətʃər/
15 Tiempo y clima,degree,grado,/dɪˈɡriː/
15 Tiempo y clima,spring,primavera,/sprɪŋ/
15 Tiempo y clima,summer,verano,/ˈsʌmər/
15 Tiempo y clima,autumn,otoño,/ˈɔːtəm/
15 Tiempo y clima,fall,otoño,/fɔːl/
15 Tiempo y clima,winter,invierno,/ˈwɪntər/
15 Tiempo y clima,season,estación,/ˈsiːzən/
15 Tiempo y clima,sky,cielo,/skaɪ/
15 Tiempo y clima,storm,tormenta,/stɔːrm/
15 Tiempo y clima,umbrella,paraguas,/ʌmˈbrelə/
15 Tiempo y clima,coat,abrigo,/koʊt/
15 Tiempo y clima,outside,afuera,/ˌaʊtˈsaɪd/
15 Tiempo y clima,forecast,pronóstico,/ˈfɔːrkæst/
15 Tiempo y clima,dry,seco,/draɪ/
15 Tiempo y clima,wet,mojado,/wet/
15 Tiempo y clima,bright,brillante,/braɪt/
15 Tiempo y clima,dark,oscuro,/dɑːrk/
16 Ocio y pasatiempos,hobby,pasatiempo,/ˈhɑːbi/
16 Ocio y pasatiempos,music,música,/ˈmjuːzɪk/
16 Ocio y pasatiempos,song,canción,/sɔːŋ/
16 Ocio y pasatiempos,movie,película,/ˈmuːvi/
16 Ocio y pasatiempos,film,película,/fɪlm/
16 Ocio y pasatiempos,game,juego,/ɡeɪm/
16 Ocio y pasatiempos,sport,deporte,/spɔːrt/
16 Ocio y pasatiempos,football,fútbol,/ˈfʊtbɔːl/
16 Ocio y pasatiempos,soccer,fútbol,/ˈsɑːkər/
16 Ocio y pasatiempos,tennis,tenis,/ˈtenɪs/
16 Ocio y pasatiempos,swim,nadar,/swɪm/
16 Ocio y pasatiempos,dance,bailar,/dæns/
16 Ocio y pasatiempos,sing,cantar,/sɪŋ/
16 Ocio y pasatiempos,draw,dibujar,/drɔː/
16 Ocio y pasatiempos,paint,pintar,/peɪnt/
16 Ocio y pasatiempos,photo,foto,/ˈfoʊtoʊ/
16 Ocio y pasatiempos,picture,imagen,/ˈpɪktʃər/
16 Ocio y pasatiempos,camera,cámara,/ˈkæmərə/
16 Ocio y pasatiempos,party,fiesta,/ˈpɑːrti/
16 Ocio y pasatiempos,fun,diversión,/fʌn/
16 Ocio y pasatiempos,interesting,interesante,/ˈɪntrəstɪŋ/
16 Ocio y pasatiempos,boring,aburrido,/ˈbɔːrɪŋ/
16 Ocio y pasatiempos,favorite,favorito,/ˈfeɪvərɪt/
16 Ocio y pasatiempos,enjoy,disfrutar,/ɪnˈdʒɔɪ/
16 Ocio y pasatiempos,like,gustar,/laɪk/
